nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa;kode_desa;nama_desa;tahun;jenis_kelamin;jumlah_buruh_pabrik;satuan
1103;Kabupaten Aceh Timur;110310;Ranto Peureulak;1103102013;Alue Udep;2024;Laki-laki;3;Jiwa
1103;Kabupaten Aceh Timur;110310;Ranto Peureulak;1103102024;Seumanah Jaya;2024;Laki-laki;50;Jiwa
1103;Kabupaten Aceh Timur;110310;Ranto Peureulak;1103102007;Seuleumak Muda;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110306;Nurussalam;1103062041;Seuneubok Rambong;2024;Laki-laki;1;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072001;Pasir Putih;2024;Laki-laki;5;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072013;Beusa Meuranoe;2024;Laki-laki;15;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072014;Bangka Rimung;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072015;Tanoh Rata;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072016;Bandrong;2024;Laki-laki;2;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072022;Alue Nibong;2024;Laki-laki;10;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072023;Seuneubok Peusangan;2024;Laki-laki;0;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072024;Seuneubok Aceh;2024;Laki-laki;10;Jiwa
1103;Kabupaten Aceh Timur;110307;Peureulak;1103072025;Seuneubok Pidie;2024;Laki-laki;17;Jiwa
